Première entrée,Dernière entrée,Nombre d'années,Code ISO3,Territoire
1995,2021,27,abw,Aruba
1995,2021,27,afg,Afghanistan
1995,2021,27,ago,Angola
1995,2021,27,aia,Anguilla
1995,2021,27,alb,Albania
1995,2021,27,and,Andorra
1995,2010,16,ant,Netherlands Antilles
1995,2021,27,are,United Arab Emirates
1995,2021,27,arg,Argentina
1995,2021,27,arm,Armenia
2000,2021,22,asm,American Samoa
2000,2013,14,ata,Antarctica
1995,2021,27,atf,French South Antarctic Territory
1995,2021,27,atg,Antigua and Barbuda
1995,2021,27,aus,Australia
1995,2021,27,aut,Austria
1995,2021,27,aze,Azerbaijan
1995,2021,27,bdi,Burundi
1999,2021,23,bel,Belgium
1995,2021,27,ben,Benin
2011,2021,11,bes,"Bonaire, Sint Eustatius and Saba"
1995,2021,27,bfa,Burkina Faso
1995,2021,27,bgd,Bangladesh
1995,2021,27,bgr,Bulgaria
1995,2021,27,bhr,Bahrain
1995,2021,27,bhs,Bahamas
1995,2021,27,bih,Bosnia and Herzegovina
2013,2021,9,blm,Saint Barthélemy
1995,2021,27,blr,Belarus
1995,2018,24,blx,Belgium-Luxembourg
1995,2021,27,blz,Belize
1995,2021,27,bmu,Bermuda
1995,2021,27,bol,Bolivia
1995,2021,27,bra,Brazil
1995,2021,27,brb,Barbados
1995,2021,27,brn,Brunei
1995,2021,27,btn,Bhutan
2000,2013,14,bvt,Bouvet Island
2000,2021,22,bwa,Botswana
1995,2021,27,caf,Central African Republic
1995,2021,27,can,Canada
1995,2021,27,cck,Cocos (Keeling) Islands
1995,2021,27,che,Switzerland
1995,2021,27,chl,Chile
1995,2021,27,chn,China
1995,2021,27,civ,Cote d'Ivoire
1995,2021,27,cmr,Cameroon
1995,2021,27,cod,Democratic Republic of the Congo
1995,2021,27,cog,Republic of the Congo
1995,2021,27,cok,Cook Islands
1995,2021,27,col,Colombia
1995,2021,27,com,Comoros
1995,2021,27,cpv,Cape Verde
1995,2021,27,cri,Costa Rica
1995,2021,27,cub,Cuba
2011,2021,11,cuw,Curaçao
1995,2021,27,cxr,Christmas Island
1995,2021,27,cym,Cayman Islands
1995,2021,27,cyp,Cyprus
1995,2021,27,cze,Czech Republic
1995,2021,27,deu,Germany
1995,2021,27,dji,Djibouti
1995,2021,27,dma,Dominica
1995,2021,27,dnk,Denmark
1995,2021,27,dom,Dominican Republic
1995,2021,27,dza,Algeria
1995,2021,27,ecu,Ecuador
1995,2021,27,egy,Egypt
1995,2021,26,eri,Eritrea
1995,2013,19,esh,Western Sahara
1995,2021,27,esp,Spain
1995,2021,27,est,Estonia
1995,2021,27,eth,Ethiopia
1995,2021,27,fin,Finland
1995,2021,27,fji,Fiji
1995,2021,27,flk,Falkland Islands
1995,2021,27,fra,France
1995,2021,27,fsm,Micronesia
1995,2021,27,gab,Gabon
1995,2021,27,gbr,United Kingdom
1995,2021,27,geo,Georgia
1995,2021,27,gha,Ghana
1995,2021,27,gib,Gibraltar
1995,2021,27,gin,Guinea
1995,2021,27,gmb,Gambia
1995,2021,27,gnb,Guinea-Bissau
1995,2021,27,gnq,Equatorial Guinea
1995,2021,27,grc,Greece
1995,2021,27,grd,Grenada
1995,2021,27,grl,Greenland
1995,2021,27,gtm,Guatemala
2000,2021,22,gum,Guam
1995,2021,27,guy,Guyana
1995,2021,27,hkg,Hong Kong
2000,2013,14,hmd,Heard Island and McDonald Islands
1995,2021,27,hnd,Honduras
1995,2021,27,hrv,Croatia
1995,2021,27,hti,Haiti
1995,2021,27,hun,Hungary
1995,2021,27,idn,Indonesia
1995,2021,27,ind,India
1995,2021,27,iot,British Indian Ocean Territory
1995,2021,27,irl,Ireland
1995,2021,27,irn,Iran
1995,2021,27,irq,Iraq
1995,2021,27,isl,Iceland
1995,2021,27,isr,Israel
1995,2021,27,ita,Italy
1995,2021,27,jam,Jamaica
1995,2021,27,jor,Jordan
1995,2021,27,jpn,Japan
1995,2021,27,kaz,Kazakhstan
1995,2021,27,ken,Kenya
1995,2021,27,kgz,Kyrgyzstan
1995,2021,27,khm,Cambodia
1995,2021,27,kir,Kiribati
1995,2021,27,kna,Saint Kitts and Nevis
1995,2021,27,kor,South Korea
1995,2021,27,kwt,Kuwait
1995,2021,27,lao,Laos
1995,2021,27,lbn,Lebanon
1995,2021,27,lbr,Liberia
1995,2021,27,lby,Libya
1995,2021,27,lca,Saint Lucia
1995,2021,27,lka,Sri Lanka
2000,2021,22,lso,Lesotho
1995,2021,27,ltu,Lithuania
1999,2021,23,lux,Luxembourg
1995,2021,27,lva,Latvia
1995,2021,27,mac,Macau
2011,2021,11,maf,Saint Martin
1995,2021,27,mar,Morocco
1995,2021,27,mda,Moldova
1995,2021,27,mdg,Madagascar
1995,2021,27,mdv,Maldives
1995,2021,27,mex,Mexico
1995,2021,27,mhl,Marshall Islands
1995,2021,27,mkd,Macedonia
1995,2021,27,mli,Mali
1995,2021,27,mlt,Malta
1995,2021,27,mmr,Myanmar
2006,2021,16,mne,Montenegro
1995,2021,27,mng,Mongolia
1995,2021,27,mnp,Northern Mariana Islands
1995,2021,27,moz,Mozambique
1995,2021,27,mrt,Mauritania
1995,2021,27,msr,Montserrat
1995,2021,27,mus,Mauritius
1995,2021,27,mwi,Malawi
1995,2021,27,mys,Malaysia
2000,2021,22,nam,Namibia
1995,2021,27,ncl,New Caledonia
1995,2021,27,ner,Niger
1995,2021,27,nfk,Norfolk Island
1995,2021,27,nga,Nigeria
1995,2021,27,nic,Nicaragua
1995,2021,27,niu,Niue
1995,2021,27,nld,Netherlands
1995,2021,27,nor,Norway
1995,2021,27,npl,Nepal
1995,2021,27,nru,Nauru
1995,2021,27,nzl,New Zealand
1995,2021,27,omn,Oman
1995,2021,27,pak,Pakistan
1995,2021,27,pan,Panama
1995,2021,27,pcn,Pitcairn Islands
1995,2021,27,per,Peru
1995,2021,27,phl,Philippines
1995,2021,27,plw,Palau
1995,2021,27,png,Papua New Guinea
1995,2021,27,pol,Poland
1995,2021,27,prk,North Korea
1995,2021,27,prt,Portugal
1995,2021,27,pry,Paraguay
2000,2021,22,pse,Palestian territory
1995,2021,27,pyf,French Polynesia
1995,2021,27,qat,Qatar
1995,2021,27,rou,Romania
1995,2021,27,rus,Russia
1995,2021,27,rwa,Rwanda
1995,2021,27,sau,Saudi Arabia
1995,2021,27,sdn,Sudan
1995,2021,27,sen,Senegal
1995,2021,27,sgp,Singapore
2000,2013,14,sgs,South Georgia South Sandwich Islands
1995,2021,27,shn,Saint Helena
1995,2021,27,slb,Solomon Islands
1995,2021,27,sle,Sierra Leone
1995,2021,27,slv,El Salvador
2000,2021,22,smr,San Marino
1995,2021,27,som,Somalia
1995,2021,27,spm,Saint Pierre and Miquelon
2005,2021,17,srb,Serbia
2012,2021,10,ssd,South Sudan
1995,2021,27,stp,Sao Tome and Principe
1995,2021,27,sur,Suriname
1995,2021,27,svk,Slovakia
1995,2021,27,svn,Slovenia
1995,2021,27,swe,Sweden
2000,2021,22,swz,Swaziland
1995,2021,27,syc,Seychelles
1995,2021,27,syr,Syria
1995,2021,27,tca,Turks and Caicos Islands
1995,2021,27,tcd,Chad
1995,2021,27,tgo,Togo
1995,2021,27,tha,Thailand
1995,2021,27,tjk,Tajikistan
1995,2021,27,tkl,Tokelau
1995,2021,27,tkm,Turkmenistan
1995,2021,27,tls,Timor-Leste
1995,2021,27,ton,Tonga
1995,2021,27,tto,Trinidad and Tobago
1995,2021,27,tun,Tunisia
1995,2021,27,tur,Turkey
1995,2021,27,tuv,Tuvalu
1995,2021,27,tza,Tanzania
1995,2021,27,uga,Uganda
1995,2021,27,ukr,Ukraine
1995,2004,10,umi,United States Minor Outlying Islands
1995,2021,27,ury,Uruguay
1995,2021,27,usa,United States of America
1995,2021,27,uzb,Uzbekistan
2000,2013,14,vat,Holy See (Vatican City)
1995,2021,27,vct,Saint Vincent and the Grenadines
1995,2021,27,ven,Venezuela
1995,2021,27,vgb,British Virgin Islands
1995,2021,27,vnm,Vietnam
1995,2021,27,vut,Vanuatu
1995,2021,27,wlf,Wallis and Futuna
1995,2021,27,wsm,Samoa
1995,2013,19,xxa,Provision of Ships and Aircraft
1995,2014,20,xxb,Central Banks
1995,2013,19,xxc,Unclassified
1996,2013,17,xxd,Unknown
1995,2012,17,xxe,Neutral Zone
1995,2013,19,xxf,Free Zones
1995,2013,19,xxg,Bunkers
1995,2013,19,xxh,Areas
1995,2013,19,xxi,Special Categories
1995,2021,27,yem,Yemen
1995,2005,11,yug,Yugoslavia
1995,2021,27,zaf,South Africa
1995,2021,27,zmb,Zambia
1995,2021,27,zwe,Zimbabwe